date_simple,shop_id,ranking,ranking_live,ranking_live_without_ad,bookmark_count,uv,bookmark_change_amount,goods_view_count,my_goods_count_change,meta_order_count,meta_order_amount,ad_display_view_count,ad_display_click_count,ad_display_billing_amount,ad_display_cash_amount,ad_display_free_amount,ad_display_total_amount,ad_display_add_cash_count,ad_display_add_cash_amount,ad_display_remain_cash_amount,ad_display_new_content_created_count,ad_display_new_goods_adopted_count,ad_display_content_total_running_count,ad_display_content_valid_running_count,ad_display_content_auto_scheduling_on_going_count,ad_display_content_auto_scheduling_elapsed_rate_avg,ad_display_content_rank_under_200_count,ad_display_content_with_daily_budget_count,ad_display_content_with_max_budget_count,ad_display_content_daily_budget_avg,ad_display_content_max_budget_avg,ad_display_content_first_running_count,ad_display_run_ordinal,ad_display_run_ordinal_day,ad_display_stop_ordinal,ad_display_stop_ordinal_day,ad_display_run_ordinal_final,ad_display_stop_ordinal_final,ad_display_status_final,ad_display_content_total_running_content_id_list,ad_display_content_valid_running_content_id_list,ad_display_content_auto_scheduling_on_going_content_id_list,ad_display_content_rank_under_200_content_id_list,ad_display_content_with_daily_budget_content_id_list,ad_display_content_with_max_budget_content_id_list,ad_display_content_first_running_content_id_list,shop_state_closed_to_normal,created_order_count,created_order_amount,created_order_item_count,paid_order_count,paid_order_amount,paid_order_item_count,refunded_order_count,refunded_order_amount,refunded_order_item_count,order_count,order_amount,date_simple,shop_id,shop_name,pv
2019-10-28,2003,179,173,272,81008,8453,357,16693,2852,48,3636800,143503,2737,315703,313343,0,313343,0,0,1233964,0,0,6,6,0,null,0,6,0,85000,null,0,3,530,3,-1,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,bec1038e-ade0-4490-ab14-4787e142ee0b,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7,5d5b89a1-65f6-45b6-9c1b-4504f4860659","c05c6821-e183-4056-84fc-cf2fba5502e0,bec1038e-ade0-4490-ab14-4787e142ee0b,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,5d5b89a1-65f6-45b6-9c1b-4504f4860659",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,5d5b89a1-65f6-45b6-9c1b-4504f4860659,bec1038e-ade0-4490-ab14-4787e142ee0b,790d79fe-6a77-4816-abb2-dbdbe86c30f7",,,1,103,4342150,145,102,4271900,143,13,717350,19,48,3636800,2019-10-28,2003,더제이수,7553
2019-10-28,2220,242,228,334,59010,1406,114,2732,332,22,1141622,20578,312,45270,42814,0,42814,1,1000000,949605,0,0,4,4,0,null,1,4,0,30000,null,0,2,1,2,-1,2,2,1,"a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4","bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,"f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,,1,10,285000,13,9,268000,12,3,105400,4,22,1141622,2019-10-28,2220,크러시제이,5753
2019-10-28,2413,1240,1058,748,28512,667,31,1335,92,5,519700,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-1,2,181,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,519700,2019-10-28,2413,드보우,2962
2019-10-28,3492,2408,1873,1538,1761,798,15,1169,136,2,120100,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-1,1,199,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,2,120100,2019-10-28,3492,바이비브,69
2019-10-28,5387,2354,1838,1486,2747,489,13,897,77,4,268800,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-1,8,229,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,4,268800,2019-10-28,5387,미니걸스,131
2019-10-28,6147,781,690,1259,2211,670,13,834,115,5,192900,29431,516,64747,64789,0,64789,0,0,21128,3,2,5,4,0,null,2,2,3,52500,10000,3,2,120,2,-1,2,2,1,"54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,b6e8ac64-19ae-4f81-a247-5a26ba435f1d,ee26d050-172e-47c0-8e2c-642453ea737e","54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,"54c1d07f-5d45-4036-8512-1020578fb1b7,3e17fa2c-31ac-4739-882a-4fa1043eb569","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d","ee26d050-172e-47c0-8e2c-642453ea737e,3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9","3e17fa2c-31ac-4739-882a-4fa1043eb569,9078d194-5385-486d-bcd8-0078964303b9,ee26d050-172e-47c0-8e2c-642453ea737e",1,0,0,0,0,0,0,0,0,0,5,192900,2019-10-28,6147,미코미코,319
2019-10-27,2003,179,173,270,80651,8055,358,16470,2559,37,2659950,149751,3205,329450,332329,0,332329,0,0,1547307,0,0,4,4,0,null,0,4,0,87500,null,0,3,529,3,-2,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7","c05c6821-e183-4056-84fc-cf2fba5502e0,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,790d79fe-6a77-4816-abb2-dbdbe86c30f7",,,1,87,5273400,150,82,5121600,145,3,56500,3,37,2659950,2019-10-27,2003,더제이수,5613
2019-10-27,2220,236,223,334,58896,837,68,1530,55,8,482400,713,13,1568,5802,0,5802,0,0,-7581,0,0,4,0,0,null,3,4,0,30000,null,0,2,-1,1,1,2,2,1,"a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4",,,"bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,,1,2,72000,2,2,72000,2,0,0,0,8,482400,2019-10-27,2220,크러시제이,2740
2019-10-27,2413,1236,1056,744,28481,483,25,955,15,1,131200,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-2,2,180,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,1,131200,2019-10-27,2413,드보우,1524
2019-10-27,3492,2412,1876,1538,1746,781,13,1136,106,3,286780,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-2,1,198,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,3,286780,2019-10-27,3492,바이비브,120
2019-10-27,5387,2355,1839,1480,2734,470,14,860,87,5,271000,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-2,8,228,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,271000,2019-10-27,5387,미니걸스,123
2019-10-27,6147,776,686,1250,2198,568,13,686,77,4,131900,24107,510,53035,53512,0,53512,0,0,85917,0,0,2,2,0,null,1,2,0,52500,null,0,2,119,2,-2,2,2,1,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,54c1d07f-5d45-4036-8512-1020578fb1b7,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,,1,0,0,0,0,0,0,0,0,0,4,131900,2019-10-27,6147,미코미코,171
2019-10-26,2003,180,174,268,80293,5975,298,12180,2066,16,1354650,135515,2654,298132,295603,0,295603,0,0,1879636,0,0,4,4,0,null,0,4,0,87500,null,0,3,528,3,-3,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928","c05c6821-e183-4056-84fc-cf2fba5502e0,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,,1,34,1478300,49,33,1445100,48,2,98600,3,16,1354650,2019-10-26,2003,더제이수,5207
2019-10-26,2220,235,222,335,58828,870,98,1486,120,12,868800,20610,222,45340,46438,0,46438,0,0,-1779,0,0,4,4,0,null,3,4,0,30000,null,0,1,663,1,-1,2,2,1,"bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,"bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,f7dc73a5-3057-442d-a634-9601f5b31af4,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,,1,8,381200,13,8,381200,13,1,26100,1,12,868800,2019-10-26,2220,크러시제이,3029
2019-10-26,2413,1236,1057,742,28456,461,41,903,101,2,151500,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-3,2,179,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,2,151500,2019-10-26,2413,드보우,1978
2019-10-26,3492,2432,1893,1549,1733,526,5,818,73,6,442080,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-3,1,197,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,6,442080,2019-10-26,3492,바이비브,73
2019-10-26,5387,2339,1826,1467,2720,359,9,596,44,2,123400,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-3,8,227,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,2,123400,2019-10-26,5387,미니걸스,190
2019-10-26,6147,765,676,1233,2185,472,12,565,72,1,51300,22909,470,50399,51429,0,51429,0,0,139429,0,0,2,2,0,null,1,2,0,52500,null,0,2,118,2,-3,2,2,1,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,54c1d07f-5d45-4036-8512-1020578fb1b7,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,,1,0,0,0,0,0,0,0,0,0,1,51300,2019-10-26,6147,미코미코,219
2019-10-25,2003,178,172,267,79995,3327,169,5869,861,9,588410,95686,1874,210508,213190,0,213190,0,0,2175239,2,1,6,5,0,null,0,6,0,88333.33333333333,null,2,3,527,3,-4,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928,bceb0c0a-908f-4949-8513-f67433e07323,61285a5f-b279-4737-9345-aa62a19f1da7,790d79fe-6a77-4816-abb2-dbdbe86c30f7","c05c6821-e183-4056-84fc-cf2fba5502e0,bceb0c0a-908f-4949-8513-f67433e07323,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,,"c05c6821-e183-4056-84fc-cf2fba5502e0,bceb0c0a-908f-4949-8513-f67433e07323,61285a5f-b279-4737-9345-aa62a19f1da7,790d79fe-6a77-4816-abb2-dbdbe86c30f7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a,bdc2e5a0-057b-46fc-8094-89516cfbe928",,"61285a5f-b279-4737-9345-aa62a19f1da7,4e95179d-3cd1-4f56-ac16-a6d6fa24749a",1,11,486850,13,10,457050,12,7,414400,9,9,588410,2019-10-25,2003,더제이수,5989
2019-10-25,2220,235,222,337,58730,939,85,1495,171,14,847300,19331,237,42525,43016,0,43016,0,0,44659,1,1,7,3,0,null,5,7,0,30000,null,1,1,662,1,-2,2,2,1,"bda7f933-cb89-4054-a538-a10493436333,b84df423-3323-4bda-af07-f61215aab448,ff47d431-8410-45ed-8933-0b934bbee4d3,634e393f-0fd3-4316-8248-179338748153,f7dc73a5-3057-442d-a634-9601f5b31af4,19c219d8-63f0-4889-b5bf-9578e2a53bdb,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","f7dc73a5-3057-442d-a634-9601f5b31af4,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3",,"bda7f933-cb89-4054-a538-a10493436333,b84df423-3323-4bda-af07-f61215aab448,ff47d431-8410-45ed-8933-0b934bbee4d3,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,634e393f-0fd3-4316-8248-179338748153","bda7f933-cb89-4054-a538-a10493436333,b84df423-3323-4bda-af07-f61215aab448,ff47d431-8410-45ed-8933-0b934bbee4d3,634e393f-0fd3-4316-8248-179338748153,f7dc73a5-3057-442d-a634-9601f5b31af4,19c219d8-63f0-4889-b5bf-9578e2a53bdb,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,f7dc73a5-3057-442d-a634-9601f5b31af4,1,4,200000,8,4,200000,8,1,72000,3,14,847300,2019-10-25,2220,크러시제이,4598
2019-10-25,2413,1229,1051,736,28415,435,36,828,71,6,313000,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-4,2,178,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,6,313000,2019-10-25,2413,드보우,1935
2019-10-25,3492,2427,1886,1550,1728,510,6,731,81,5,373920,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-4,1,196,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,373920,2019-10-25,3492,바이비브,108
2019-10-25,5387,2325,1813,1461,2711,350,6,741,78,5,452300,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-4,8,226,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,452300,2019-10-25,5387,미니걸스,311
2019-10-25,6147,765,676,1226,2173,498,22,606,87,2,60240,26855,527,59081,58022,0,58022,0,0,190858,0,0,2,2,0,null,1,2,0,52500,null,0,2,117,2,-4,2,2,1,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,54c1d07f-5d45-4036-8512-1020578fb1b7,"54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d",,,1,0,0,0,0,0,0,0,0,0,2,60240,2019-10-25,6147,미코미코,246
2019-10-24,2003,179,173,266,79826,3517,144,6702,1036,12,1192232,92388,1824,203250,202105,0,202105,1,2000000,2388429,2,1,8,7,0,null,2,8,0,92500,null,2,3,526,3,-5,3,3,1,"c05c6821-e183-4056-84fc-cf2fba5502e0,33575683-a36e-4d64-a097-82b4428aa7b2,bec1038e-ade0-4490-ab14-4787e142ee0b,bceb0c0a-908f-4949-8513-f67433e07323,8acdfef4-1372-4275-845f-48278af981a4,790d79fe-6a77-4816-abb2-dbdbe86c30f7,908379f6-3113-47f9-8a32-3cb4953206ba,bdc2e5a0-057b-46fc-8094-89516cfbe928","c05c6821-e183-4056-84fc-cf2fba5502e0,908379f6-3113-47f9-8a32-3cb4953206ba,33575683-a36e-4d64-a097-82b4428aa7b2,bdc2e5a0-057b-46fc-8094-89516cfbe928,bec1038e-ade0-4490-ab14-4787e142ee0b,bceb0c0a-908f-4949-8513-f67433e07323,790d79fe-6a77-4816-abb2-dbdbe86c30f7",,"33575683-a36e-4d64-a097-82b4428aa7b2,8acdfef4-1372-4275-845f-48278af981a4","c05c6821-e183-4056-84fc-cf2fba5502e0,33575683-a36e-4d64-a097-82b4428aa7b2,bec1038e-ade0-4490-ab14-4787e142ee0b,bceb0c0a-908f-4949-8513-f67433e07323,8acdfef4-1372-4275-845f-48278af981a4,790d79fe-6a77-4816-abb2-dbdbe86c30f7,908379f6-3113-47f9-8a32-3cb4953206ba,bdc2e5a0-057b-46fc-8094-89516cfbe928",,"908379f6-3113-47f9-8a32-3cb4953206ba,33575683-a36e-4d64-a097-82b4428aa7b2",1,20,872700,29,20,872700,29,8,641300,10,12,1192232,2019-10-24,2003,더제이수,8712
2019-10-24,2220,237,224,343,58645,1165,35,2056,161,13,769980,29085,335,63984,61975,0,61975,0,0,87675,1,0,8,6,0,null,6,8,0,30000,null,1,1,661,1,-3,2,2,1,"b84df423-3323-4bda-af07-f61215aab448,19c219d8-63f0-4889-b5bf-9578e2a53bdb,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f,bda7f933-cb89-4054-a538-a10493436333,ff47d431-8410-45ed-8933-0b934bbee4d3,634e393f-0fd3-4316-8248-179338748153,7b65465c-b587-45b7-a9b3-cecaa0743be4,879c52f6-357f-420b-9228-2e3a25916a61","bda7f933-cb89-4054-a538-a10493436333,b84df423-3323-4bda-af07-f61215aab448,ff47d431-8410-45ed-8933-0b934bbee4d3,634e393f-0fd3-4316-8248-179338748153,19c219d8-63f0-4889-b5bf-9578e2a53bdb,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,"b84df423-3323-4bda-af07-f61215aab448,634e393f-0fd3-4316-8248-179338748153,19c219d8-63f0-4889-b5bf-9578e2a53bdb,7b65465c-b587-45b7-a9b3-cecaa0743be4,879c52f6-357f-420b-9228-2e3a25916a61,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f","bda7f933-cb89-4054-a538-a10493436333,b84df423-3323-4bda-af07-f61215aab448,ff47d431-8410-45ed-8933-0b934bbee4d3,634e393f-0fd3-4316-8248-179338748153,19c219d8-63f0-4889-b5bf-9578e2a53bdb,7b65465c-b587-45b7-a9b3-cecaa0743be4,879c52f6-357f-420b-9228-2e3a25916a61,a1f3e7dd-d7dd-489d-bf4a-048e323fe60f",,19c219d8-63f0-4889-b5bf-9578e2a53bdb,1,4,296000,5,4,296000,5,0,0,0,13,769980,2019-10-24,2220,크러시제이,4754
2019-10-24,2413,1227,1050,736,28379,485,19,959,55,5,331600,0,0,0,0,0,0,0,0,-5266,0,0,0,0,0,null,0,0,0,null,null,0,3,-5,2,177,3,2,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,5,331600,2019-10-24,2413,드보우,1852
2019-10-24,3492,2408,1871,1544,1722,637,10,1005,114,4,345950,0,0,0,0,0,0,0,0,67419,0,0,0,0,0,null,0,0,0,null,null,0,2,-5,1,195,2,1,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,4,345950,2019-10-24,3492,바이비브,199
2019-10-24,5387,2353,1832,1493,2705,353,8,702,65,6,422900,0,0,0,0,0,0,0,0,44298,0,0,0,0,0,null,0,0,0,null,null,0,9,-5,8,225,9,8,0,null,null,null,null,null,null,null,1,0,0,0,0,0,0,0,0,0,6,422900,2019-10-24,5387,미니걸스,191
2019-10-24,6147,770,680,1219,2151,517,8,638,76,2,80800,27239,561,59923,61371,0,61371,0,0,248880,0,0,6,3,0,null,2,4,4,56250,14750,0,2,116,2,-5,2,2,1,"b6e8ac64-19ae-4f81-a247-5a26ba435f1d,54c1d07f-5d45-4036-8512-1020578fb1b7,138800c7-3677-4f98-acae-a99282724b29,52664ab3-122f-4486-a6cf-0c7b72481f02,3293898b-f8a1-4596-b31d-90735879b403,b75224a5-8f48-4ef9-b157-897f77d4c860","54c1d07f-5d45-4036-8512-1020578fb1b7,b6e8ac64-19ae-4f81-a247-5a26ba435f1d,3293898b-f8a1-4596-b31d-90735879b403",,"3293898b-f8a1-4596-b31d-90735879b403,b75224a5-8f48-4ef9-b157-897f77d4c860","54c1d07f-5d45-4036-8512-1020578fb1b7,138800c7-3677-4f98-acae-a99282724b29,b6e8ac64-19ae-4f81-a247-5a26ba435f1d,b75224a5-8f48-4ef9-b157-897f77d4c860","b75224a5-8f48-4ef9-b157-897f77d4c860,138800c7-3677-4f98-acae-a99282724b29,52664ab3-122f-4486-a6cf-0c7b72481f02,3293898b-f8a1-4596-b31d-90735879b403",,1,0,0,0,0,0,0,0,0,0,2,80800,2019-10-24,6147,미코미코,284
